index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors
152,Tinker Tailor Soldier Spy,2011,7.1,1,0,0,0,Tomas Alfredson
153,The Witch,2015,6.9,1,0,0,0,Robert Eggers
154,Haider,2014,8.1,1,0,0,0,Vishal Bhardwaj
155,Padman,2018,7.9,1,0,0,0,R. Balki
156,Hush,2016,6.6,1,0,0,0,Mike Flanagan
157,Elizabeth,1998,7.4,1,0,0,0,Shekhar Kapur
158,Miss Americana,2020,7.4,1,0,0,0,Lana Wilson
159,Christopher Robin,2018,7.3,1,0,0,0,Marc Forster
160,I Lost My Body,2019,7.6,1,0,0,0,Jérémy Clapin
161,I Am Mother,2019,6.7,1,0,0,0,Grant Sputore
162,Lupin the Third: The Castle of Cagliostro,1979,7.7,1,0,0,0,Hayao Miyazaki
163,The Autopsy of Jane Doe,2016,6.8,1,0,0,0,André Øvredal
164,Virunga,2014,8.2,1,0,0,0,Orlando von Einsiedel
165,Freedom Writers,2007,7.5,1,0,1,0,Richard LaGravenese
166,The Master,2012,7.2,1,0,0,0,Paul Thomas Anderson
167,A Serious Man,2009,7.0,1,0,0,0,"Ethan Coen,Joel Coen"
168,The King,2019,7.2,1,0,0,0,David Michôd
169,The Breadwinner,2017,7.7,1,0,0,0,Nora Twomey
170,The Boy Who Harnessed the Wind,2019,7.6,1,0,1,0,Chiwetel Ejiofor
171,Article 15,2019,8.3,1,0,0,0,Anubhav Sinha
172,The Killing of a Sacred Deer,2017,7.0,1,0,0,0,Yorgos Lanthimos
173,Lawless,2012,7.3,1,0,0,0,John Hillcoat
174,Kabhi Khushi Kabhie Gham,2001,7.4,1,0,0,0,Karan Johar
175,Charlie and the Chocolate Factory,2005,6.6,1,0,0,0,Tim Burton
176,Freaks,2019,6.7,1,0,0,0,"Zach Lipovsky,Adam B. Stein"
177,Hannah Gadsby: Nanette,2018,8.2,1,0,0,0,"Jon Olb,Madeleine Parry"
178,The Mask of Zorro,1998,6.7,1,0,0,0,Martin Campbell
179,The Natural,1984,7.5,1,0,0,0,Barry Levinson
180,Equilibrium,2002,7.4,1,0,0,0,Kurt Wimmer
181,Arthur Christmas,2011,7.1,1,0,0,0,"Sarah Smith,Barry Cook"
182,The Rainmaker,1997,7.2,1,0,1,0,Francis Ford Coppola
183,Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,1,0,0,0,Evgeny Afineevsky
184,Always Be My Maybe,2019,6.8,1,0,0,0,Nahnatchka Khan
185,The Crying Game,1992,7.2,1,0,0,0,Neil Jordan
186,War Horse,2011,7.2,1,0,0,0,Steven Spielberg
187,Shot Caller,2017,7.3,1,0,0,0,Ric Roman Waugh
188,The Invitation,2015,6.6,1,0,1,0,Karyn Kusama
189,A Most Violent Year,2014,7.0,1,0,0,0,J.C. Chandor
190,The Other Guys,2010,6.6,1,0,0,0,Adam McKay
191,Kapoor & Sons,2016,7.7,1,0,0,0,Shakun Batra
192,On Body and Soul,2017,7.6,1,0,0,0,Ildikó Enyedi
193,The Fundamentals of Caring,2016,7.3,1,0,1,0,Rob Burnett
194,Insidious,2010,6.8,1,0,0,0,James Wan
195,Bill Burr: Paper Tiger,2019,8.2,1,0,0,0,Mike Binder
196,Bad Boys,1995,6.9,1,0,0,0,Michael Bay
197,The Foreigner,2017,7.0,1,0,0,0,Martin Campbell
198,The Danish Girl,2015,7.1,1,0,0,0,Tom Hooper
199,The Girl with All the Gifts,2016,6.6,1,0,0,0,Colm McCarthy
200,Bird Box,2018,6.6,1,0,0,0,Susanne Bier
201,The Ring,2002,7.1,1,0,1,0,Gore Verbinski
202,Hostiles,2017,7.2,1,0,0,0,Scott Cooper
203,Sairat,2016,8.3,1,0,0,0,Nagraj Manjule
204,Trumbo,2015,7.5,1,0,1,0,Jay Roach
205,LA 92,2017,8.2,1,0,0,0,"Daniel Lindsay,T.J. Martin"
206,20th Century Women,2016,7.3,1,0,0,0,Mike Mills
207,Kal Ho Naa Ho,2003,8.0,1,0,0,0,Nikkhil Advani
208,Swiss Army Man,2016,7.0,1,0,0,0,"Dan Kwan,Daniel Scheinert"
209,In This Corner of the World,2016,7.8,1,0,0,0,Sunao Katabuchi
210,A Ghost Story,2017,6.9,1,0,0,0,David Lowery
211,United 93,2006,7.5,1,0,0,0,Paul Greengrass
212,Patriot Games,1992,6.9,1,0,1,0,Phillip Noyce
213,The Secret Life of Pets 2,2019,6.5,1,0,0,0,"Chris Renaud,Jonathan del Val"
214,Hitch,2005,6.6,1,1,0,0,Andy Tennant
216,Enemy,2013,6.9,1,0,0,0,Denis Villeneuve
217,Mirage,2018,7.4,1,0,1,0,Oriol Paulo
218,Everybody's Everything,2019,7.4,1,0,0,0,"Sebastian Jones,Ramez Silyan"
219,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,1,0,0,0,Steven Spielberg
220,The Guernsey Literary & Potato Peel Pie Society,2018,7.4,1,0,0,0,Mike Newell
221,I Don't Feel at Home in This World Anymore,2017,6.9,1,0,0,0,Macon Blair
222,The Endless,2018,6.5,1,0,0,0,"Justin Benson,Aaron Moorhead"
223,Julie & Julia,2009,7.0,1,0,0,0,Nora Ephron
224,The Game Changers,2019,7.9,1,0,0,0,Louie Psihoyos
225,Under the Shadow,2016,6.9,1,0,0,0,Babak Anvari
226,Angel Has Fallen,2019,6.4,1,0,0,0,Ric Roman Waugh
227,Kon-Tiki,2012,7.2,1,0,1,0,"Joachim Rønning,Espen Sandberg"
228,Mary Poppins Returns,2018,6.7,1,0,0,0,Rob Marshall
229,Kajaki,2014,7.1,1,0,0,0,Paul Katis
230,The Fear of 13,2015,7.7,1,0,0,0,David Sington
231,The Night Comes for Us,2018,7.0,1,0,0,0,Timo Tjahjanto
232,Blood Father,2016,6.4,1,0,0,0,Jean-François Richet
233,Stree,2018,7.6,1,0,0,0,Amar Kaushik
234,American Factory,2019,7.4,1,0,0,0,"Steven Bognar,Julia Reichert"
235,Code 8,2019,6.1,1,0,0,0,Jeff Chan
236,Salt,2010,6.4,1,0,0,0,Phillip Noyce
237,The Hundred-Foot Journey,2014,7.3,1,0,0,0,Lasse Hallström
238,The Distinguished Citizen,2016,7.5,1,0,0,0,"Gastón Duprat,Mariano Cohn"
239,Scooby-Doo on Zombie Island,1998,7.8,1,0,0,0,"Hiroshi Aoyama,Kazumi Fukushima,Jim Stenstrum"
240,Chasing Coral,2017,8.1,1,0,0,0,Jeff Orlowski
241,The End of the Tour,2015,7.3,1,0,0,0,James Ponsoldt
242,The One I Love,2014,7.1,1,0,0,0,Charlie McDowell
243,Underworld,2003,7.0,1,0,0,0,Len Wiseman
244,The Death of Mr. Lazarescu,2005,7.9,1,0,0,0,Cristi Puiu
245,Madagascar: Escape 2 Africa,2008,6.6,1,0,0,0,"Eric Darnell,Tom McGrath"
246,The Wolf's Call,2019,6.9,1,0,0,0,Antonin Baudry
247,What Happened to Monday,2017,6.9,1,0,0,0,Tommy Wirkola
248,The Willoughbys,2020,6.4,1,0,0,0,"Kris Pearn,Cory Evans,Rob Lodermeier"
249,The White Helmets,2016,7.5,1,0,0,0,Orlando von Einsiedel
251,The Matrix Revolutions,2003,6.8,1,0,0,0,"Lana Wachowski,Lilly Wachowski"
252,Richard Pryor: Live in Concert,1979,8.2,1,0,0,0,Jeff Margolis
253,Austin Powers: The Spy Who Shagged Me,1999,6.6,1,0,0,0,Jay Roach
254,Get Him to the Greek,2010,6.4,1,0,0,0,Nicholas Stoller
255,Slow West,2015,6.9,1,0,0,0,John Maclean
256,The Meyerowitz Stories (New and Selected),2017,6.9,1,0,0,0,Noah Baumbach
257,The Battered Bastards of Baseball,2014,8.0,1,0,0,0,"Chapman Way,Maclain Way"
258,The Perfection,2018,6.1,1,0,0,0,Richard Shepard
259,Ip Man 3,2015,7.1,1,0,0,0,Wilson Yip
260,Sinister,2012,6.8,1,0,0,0,Scott Derrickson
261,Rush: Beyond the Lighted Stage,2010,8.4,1,0,0,0,"Sam Dunn,Scot McFadyen"
262,20 Feet from Stardom,2013,7.4,1,0,0,0,Morgan Neville
263,The Stanford Prison Experiment,2015,6.9,1,0,0,0,Kyle Patrick Alvarez
264,My Week with Marilyn,2011,7.0,1,0,0,0,Simon Curtis
265,Catfish,2010,7.1,1,0,0,0,"Henry Joost,Ariel Schulman"
266,Secret Superstar,2017,7.9,1,0,0,0,Advait Chandan
267,Private Life,2018,7.2,1,0,0,0,Tamara Jenkins
268,Jarhead,2005,7.0,1,0,0,0,Sam Mendes
269,Yes Man,2008,6.8,1,0,0,0,Peyton Reed
270,For the Love of Spock,2016,7.6,1,0,0,0,Adam Nimoy
271,Goon,2012,6.8,1,0,0,0,Michael Dowse
272,Ace Ventura: Pet Detective,1994,6.9,1,0,0,0,Tom Shadyac
273,Inequality for All,2013,8.0,1,0,0,0,Jacob Kornbluth
274,Olympus Has Fallen,2013,6.5,1,0,0,0,Antoine Fuqua
275,Dave Chappelle: Sticks & Stones,2019,8.5,1,0,0,0,Stan Lathan
276,John Mulaney: Kid Gorgeous at Radio City,2018,7.9,1,0,0,0,Alex Timbers
277,La Bamba,1987,6.9,1,0,0,0,Luis Valdez
278,Public Enemies,2009,7.0,1,0,0,0,Michael Mann
