index,Title,Year,IMDb,Netflix,Hulu,Prime Video,Disney+
334,Inside Bill's Brain: Decoding Bill Gates,2019,8.0,1,0,0,0
335,Saint Seiya,1986,8.4,1,0,1,0
336,Flint Town,2018,8.0,1,0,0,0
337,Rake,2010,8.6,1,1,1,0
338,Rilakkuma and Kaoru,2019,8.4,1,0,0,0
339,Scooby-Doo! Mystery Incorporated,2010,8.0,1,0,0,0
340,anohana: The Flower We Saw That Day,2011,8.2,1,0,0,0
341,Africa,2013,9.0,1,0,0,0
342,The Frankenstein Chronicles,2015,7.3,1,0,0,0
343,Meteor Garden,2018,8.2,1,0,0,0
344,Wu Assassins,2019,6.4,1,0,0,0
345,The Black Donnellys,2007,8.1,1,0,0,0
346,H2O: Just Add Water,2006,7.2,1,1,1,0
347,Collateral,2018,6.7,1,0,0,0
348,1983,2018,6.8,1,0,0,0
349,November 13: Attack on Paris,2018,8.3,1,0,0,0
350,Black Butler,2008,7.8,1,1,0,0
351,Green Eggs and Ham,2019,8.2,1,0,0,0
352,The Confession Tapes,2017,7.5,1,0,0,0
353,Bad Blood,2017,7.5,1,0,0,0
354,Formula 1: Drive to Survive,2019,8.6,1,0,0,0
355,The Great British Bake Off,2010,8.6,1,0,0,0
356,The Trials of Gabriel Fernandez,2020,8.2,1,0,0,0
357,Ugly Delicious,2018,7.8,1,0,0,0
358,The Night Shift,2014,7.4,1,0,0,0
359,Impractical Jokers,2011,8.5,1,0,0,0
360,The Andy Griffith Show,1960,8.3,1,0,1,0
361,Itaewon Class,2020,8.2,1,0,0,0
362,Aquarius,2015,7.1,1,0,0,0
363,Caliphate,2020,8.2,1,0,0,0
364,Black Summer,2019,6.4,1,0,0,0
365,Bonding,2019,7.2,1,0,0,0
366,Miraculous: Tales of Ladybug & Cat Noir,2015,7.8,1,0,0,0
367,Animaniacs,1993,7.9,1,1,0,0
368,When Calls the Heart,2014,8.2,1,0,0,0
369,Young & Hungry,2014,7.4,1,0,0,0
370,Club de Cuervos,2015,8.2,1,0,0,0
371,I'm Sorry,2017,7.9,1,0,0,0
372,The Universe,2007,8.8,1,0,0,0
373,The Chalet,2018,7.0,1,0,0,0
374,My Next Guest Needs No Introduction With David Letterman,2018,7.9,1,0,0,0
375,Still Game,2002,8.9,1,0,0,0
376,NOVA,1974,8.7,1,0,1,0
377,The Confession Killer,2019,7.4,1,0,0,0
378,Father Brown,2013,7.7,1,0,0,0
379,Bordertown,2016,7.6,1,0,0,0
380,Battle Creek,2015,7.3,1,0,0,0
381,Valhalla Murders,2019,7.1,1,0,0,0
382,Scream: The TV Series,2015,7.2,1,0,0,0
383,Special,2019,7.6,1,0,0,0
384,CSI: Miami,2002,6.4,1,1,0,0
385,3Below: Tales of Arcadia,2018,7.8,1,0,0,0
386,Mystery Science Theater 3000: The Return,2017,8.0,1,0,0,0
387,Dear White People,2017,6.2,1,0,0,0
388,LEGO Ninjago: Masters of Spinjitzu,2012,6.8,1,0,1,0
389,The English Game,2020,7.6,1,0,0,0
390,White Gold,2017,7.4,1,0,0,0
391,Crazyhead,2016,7.3,1,0,0,0
392,The Protector,2018,6.9,1,0,0,0
393,Dirty John,2018,7.1,1,0,0,0
394,Get Shorty,2017,8.2,1,0,0,0
395,30 for 30,2009,8.8,1,0,0,0
396,Bard of Blood,2019,7.0,1,0,0,0
397,The Great Train Robbery,2013,7.4,1,0,0,0
398,Devilman: Crybaby,2018,7.6,1,0,0,0
399,Good Witch,2015,7.3,1,0,0,0
400,It's Bruno!,2019,7.5,1,0,0,0
401,Gurren Lagann,2007,8.3,1,0,0,0
402,Gentefied,2020,7.3,1,0,0,0
403,Victorious,2010,6.9,1,0,0,0
404,Dynasty,2017,7.3,1,0,0,0
405,The Curious Creations of Christine McConnell,2018,7.7,1,0,0,0
406,El Chapo,2017,7.8,1,0,0,0
407,Trinkets,2019,7.1,1,0,0,0
408,The Get Down,2016,8.3,1,0,0,0
409,Masum,2017,8.5,1,0,0,0
410,My Little Pony: Friendship Is Magic,2010,7.6,1,1,0,0
411,Fuller House,2016,6.8,1,0,0,0
412,Kill la Kill,2013,7.9,1,0,0,0
413,Dark Tourist,2018,7.6,1,0,0,0
414,Shtisel,2013,8.7,1,0,0,0
415,Great News,2017,7.0,1,0,0,0
416,Ouran High School Host Club,2006,8.2,1,1,0,0
417,Grand Hotel,2011,8.4,1,0,0,0
418,The Curse of Oak Island,2014,7.0,1,1,0,0
419,Workin' Moms,2017,7.5,1,0,0,0
420,Z Nation,2014,6.7,1,0,0,0
421,Losers,2019,7.7,1,0,0,0
422,"Roswell, New Mexico",2019,6.1,1,0,0,0
423,Comedians in Cars Getting Coffee,2012,8.1,1,0,0,0
424,Conan,2010,8.1,1,0,0,0
425,The Guild,2007,8.2,1,0,0,0
426,Friends from College,2017,6.8,1,0,0,0
427,Wormwood,2017,7.0,1,0,0,0
428,Watership Down,2018,7.2,1,0,0,0
429,Mr. Sunshine,2018,8.8,1,0,0,0
430,Bitten,2014,7.0,1,0,0,0
431,No Game No Life,2014,7.9,1,0,0,0
432,Violet Evergarden,2018,8.4,1,0,0,0
433,Clannad,2007,7.9,1,1,0,0
434,Gypsy,2017,6.9,1,0,0,0
435,Virgin River,2019,7.5,1,0,0,0
436,Gilmore Girls: A Year in the Life,2016,7.7,1,0,0,0
437,The Innocent Man,2018,7.4,1,0,0,0
438,Tuca & Bertie,2019,7.4,1,0,0,0
439,#blackAF,2020,6.6,1,0,0,0
440,Lovesick,2014,8.1,1,0,0,0
441,Mr. Iglesias,2019,7.1,1,0,0,0
442,Hot Girls Wanted: Turned On,2017,6.7,1,0,0,0
443,Borgia,2011,7.8,1,0,0,0
444,Trollhunters: Tales of Arcadia,2016,8.4,1,0,0,0
445,La Reina del Sur,2011,8.1,1,0,0,0
446,We Bare Bears,2015,7.9,1,1,0,0
447,Liv and Maddie,2013,6.3,1,0,0,0
448,In the Dark,2019,7.3,1,0,0,0
449,The Gift,2019,7.6,1,0,0,0
450,The Time in Between,2013,8.4,1,0,0,0
451,Cleverman,2016,6.4,1,0,0,0
452,"Pablo Escobar, The Drug Lord",2012,8.5,1,0,0,0
453,The Pharmacist,2020,7.8,1,0,0,0
454,Wet Hot American Summer: First Day of Camp,2015,7.4,1,0,0,0
455,Vampire Knight,2008,7.5,1,1,0,0
456,The Untamed,2019,8.9,1,0,0,0
457,How to Sell Drugs Online (Fast),2019,7.9,1,0,0,0
458,Taken,2017,6.6,1,1,0,0
459,Transformers: Prime,2010,7.8,1,0,0,0
460,Forensic Files,1996,8.8,1,1,1,0
461,Paradise PD,2018,7.0,1,0,0,0
462,The House of Flowers,2018,7.7,1,0,0,0
463,Quicksand,2019,7.5,1,0,0,0
464,Magnificent Century,2011,6.6,1,0,0,0
465,The Messengers,2015,6.5,1,0,0,0
466,Magi,2012,7.9,1,1,0,0
467,Car Masters: Rust to Riches,2018,8.9,1,0,0,0
468,Patriot Act with Hasan Minhaj,2018,8.2,1,0,0,0
469,Damnation,2017,7.7,1,0,0,0
470,Jericho,2006,7.2,1,0,0,0
471,American Odyssey,2015,7.3,1,0,0,0
472,Lab Rats,2012,6.6,1,0,0,1
473,Little Things,2016,8.3,1,0,0,0
474,From Dusk Till Dawn: The Series,2014,6.9,1,0,0,0
475,Grand Designs,1999,8.5,1,0,0,0
476,Explained,2018,8.0,1,0,0,0
477,Rhythm + Flow,2019,7.6,1,0,0,0
478,Carole & Tuesday,2019,7.9,1,0,0,0
479,Teresa,2010,7.7,1,0,0,0
480,The Innocents,2018,6.3,1,0,0,0
481,Tabula Rasa,2017,8.1,1,0,0,0
482,Seis Manos,2019,7.3,1,0,0,0
483,The King: Eternal Monarch,2020,8.5,1,0,0,0
484,Cable Girls,2017,7.7,1,0,0,0
485,Lady Dynamite,2016,7.4,1,0,0,0
486,Sunderland 'Til I Die,2018,8.2,1,0,0,0
487,Oliver Stone's Untold History of the United States,2012,8.6,1,0,0,0
488,Toy Boy,2019,6.5,1,0,0,0
489,Humsafar,2011,9.0,1,0,0,0
490,Crashing,2016,7.7,1,0,0,0
491,Norsemen,2016,7.8,1,0,0,0
492,AJ and the Queen,2020,7.6,1,0,0,0
493,El marginal,2016,8.2,1,0,0,0
494,Giri/Haji,2019,7.9,1,0,0,0
495,Van Helsing,2016,6.2,1,0,0,0
496,Hinterland,2013,7.6,1,0,0,0
497,Crossing Lines,2013,7.3,1,0,0,0
498,The Eddy,2020,7.0,1,0,0,0
499,A.D. The Bible Continues,2015,7.4,1,0,0,0
500,The Letter for the King,2020,5.9,1,0,0,0
501,The Boat,2011,7.3,1,0,0,0
502,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,7.4,1,1,0,0
503,The Story of God with Morgan Freeman,2016,7.9,1,0,0,0
504,Greenhouse Academy,2017,7.0,1,0,0,0
505,Diagnosis,2019,7.8,1,0,0,0
506,W/ Bob & David,2015,7.4,1,0,0,0
507,Queen Sono,2020,5.8,1,0,0,0
508,Rotten,2018,7.1,1,0,0,0
509,Requiem,2018,6.5,1,0,0,0
510,Aggretsuko,2018,8.0,1,0,0,0
511,The Code,2011,7.4,1,0,0,0
512,October Faction,2020,6.1,1,0,0,0
513,Rubí,2004,8.1,1,0,0,0
514,Arthdal Chronicles,2019,8.3,1,0,0,0
515,The New Legends of Monkey,2018,6.5,1,0,0,0
516,America's Funniest Home Videos,1989,6.2,1,1,0,1
517,The Five,2016,7.7,1,0,0,0
518,Something in the Rain,2018,8.1,1,0,0,0
519,Adam Ruins Everything,2015,8.0,1,0,0,0
520,The Heirs,2013,7.5,1,0,0,0
521,Durarara!!,2010,7.9,1,1,0,0
522,Beastars,2019,8.0,1,0,0,0
523,Puella Magi Madoka Magica,2011,8.3,1,1,0,0
524,Vagabond,2019,8.3,1,0,0,0
525,Maid Sama!,2010,8.0,1,1,0,0
526,Robotech,1985,8.5,1,0,1,0
527,"The Mind, Explained",2019,8.1,1,0,0,0
528,Boys Over Flowers,2009,8.0,1,1,0,0
529,V Wars,2019,6.1,1,0,0,0
530,Occupied,2015,7.7,1,0,0,0
531,The Devil Is a Part-Timer!,2013,7.7,1,0,0,0
532,The Letdown,2017,7.5,1,0,0,0
533,Mischievous Kiss: Love in Tokyo,2013,7.8,1,0,0,0
534,Power Rangers,1993,6.4,1,0,1,0
535,Fate/stay night [Unlimited Blade Works],2014,8.0,1,1,0,0
536,Bobby Kennedy for President,2018,8.2,1,0,0,0
537,The Mist,2017,5.4,1,0,0,0
538,Hip Hop Evolution,2016,8.4,1,0,0,0
539,Justice League Unlimited,2004,8.7,1,0,0,0
540,Undercover,2019,7.9,1,0,0,0
541,Slugterra,2012,6.3,1,0,0,0
542,The Final Table,2018,7.7,1,0,0,0
543,Velvet,2014,8.1,1,0,0,0
544,Criminal: UK,2019,7.4,1,0,0,0
545,Salt Fat Acid Heat,2018,7.7,1,0,0,0
546,Suburra: Blood on Rome,2017,8.0,1,0,0,0
547,Signal,2016,8.8,1,0,0,0
548,The Rise of Phoenixes,2018,8.6,1,0,0,0
549,The Family,2019,6.4,1,0,0,0
550,Red vs. Blue,2003,8.3,1,0,0,0
551,Huntik: Secrets & Seekers,2009,8.3,1,0,0,0
552,Cells at Work!,2018,7.6,1,0,0,0
